id,by,text
22998800,copperx,"Aren't we and our children exposed to much more violence, blood, and plain evilness in media nowadays? I don't understand how people in those times would be less sensitive to such themes."
22998799,redisman,"I've build GUI tools for projects like game editors before and since they're mainly for developers it'll just end up as a huge mismash grid of buttons anyway. Not really any better usability than a console app, just there is usually a requirement to show some image on the screen at the same time."
22998798,VWWHFSfQ,"that's not true"
22998797,throwaway894345,"Yeah, sorry, groceries were meant as an example. I tried to make that more explicit in my comment."
22998796,eigen-vector,"This is quite unfortunate. In countries where whether the people have access to internet or not is under the control of the government, this was a neat work around to get voices heard. In the recent history, an 'internet lockdown' has been the MO of many (oppressive) governments, including India. I understand the security concerns involving 2-FA via SMS, so I don't blame Twitter for addressing it. Just that this is one of those damned if you do, damned if you don't decisions. Perhaps removing it entirely isn't the way to go."
22998795,1996,"Still, I like that spirit!"
22998794,Consultant32452,"How would you find something on your own?  Every web page for a product is an advertisement for that product.  If it's on the endcap of an aisle at the supermarket, they paid money for that placement. I'm not suggesting it's totally impossible for you to find things that aren't the result of advertising, but it's really unlikely.  Most of the time if you see a product someone paid for it to be put in front of your eyes in one form or another."
22998793,RandomBacon,7 minutes older with a lot more points and comments: https://news.ycombinator.com/item?id=22998423
22998792,davidwihl,AdWords has a rich API that allows reports to downloaded in CSV format https://developers.google.com/adwords/api/docs/appendix/repo... Disclosure: I work on the team that builds the client libraries for this API.
22998791,OJFord,"Looks like it works 'properly' in the sense that it does all that it can (colouring, incl. syntax highlighting, which d-s-f never does) without making the result wonky. The core issue is the same for delta as it is for d-s-f (or any other interactive pager) - there must be a 1:1 correspondence between lines out from git, and lines back into it. So, delta can do the fancier colouring interactively, but it can't mess with the header either, for the same underlying reason. (And so 'solved' it with a `--color-only` flag.)"
22998790,jamieweb,"How the Internet actually works from the ground-up. There are lots of videos that stop once they get to the IP/network layer. There is very little content that goes further down the stack than this and talks about the backbone, transit, routing, BGP, autonomous systems, etc."
22998789,dang,"By far the best way is to submit articles that the community will find interesting. Successful submissions are the way to karma riches. If you want to play that game, looking at past front pages (click 'past' in the top bar) is a good way to get a feel for what the community likes. From a quality point of view, the best submissions are on obscure topics that haven't been discussed much before. But quality and karma-earning aren't exactly the same thing!"
